"source","pagePath","visits"
"facebook.com","/",1
"(direct)","/gtuadmissionhelpline-team",1
"(direct)","/merit-calculator",1
"(direct)","/",2
"facebook.com","/",5
"google","/",1
"yahoo","/",1
"(direct)","/",7
"facebook.com","/",4
"google","/",5
"facebook.com","/",1
"google","/bindingcollegedetails.php",1
"google","/",2
"yahoo","/",1
"(direct)","/",1
"facebook.com","/",1
"google","/",5
"facebook.com","/",1
"google","/ourteam.php",1
"google","/bindingcollegedetails.php",1
"google","/newmpharmcollege.php",1
"google","/search.php",1
"google","/search2.php",1
"google","/",3
"(direct)","/search3.php",1
"(direct)","/",1
"google","/bindingcollegedetails.php",2
"google","/",4
"google","/engineering-admission-possibilities",1
"google","/",2
"m.facebook.com","/",1
"google","/bindingmpharmcollege.php",1
"google","/search.php",1
"google","/",2
"(direct)","/",1
"google","/bindingcollegedetails.php",1
"google","/meritcalc.php",1
"google","/",3
"(direct)","/",2
"ask","/",1
"google","/",1
"(direct)","/advertisewithus",1
"google","/search2.php",1
"google","/",2
"(direct)","/",1
"google","/",5
"(direct)","/",1
"google","/",5
"localhost:1419","/MBA-MCA/aes-institute-of-computer-studies",1
"(direct)","/",4
"google","/",3
"(direct)","/",1
"adbrite.com","/",1
"google","/abranch.php",1
"google","/search2.php",1
"google","/",7
"(direct)","/",2
"(direct)","/admissioN/",1
"google","/",3
"google","/gujarat-degree-engineering-college",1
"google","/",4
"google.co.in","/",1
"(direct)","/admission/",1
"facebook.com","/",1
"google","/",4
"updowner.com","/",1
"(direct)","/",2
"facebook.com","/",1
"google","/",7
"google","/merit-calculator",2
"facebook.com","/",1
"google","/",4
"google.com","/",1
"plus.url.google.com","/",1
"(direct)","/",1
"(direct)","/newmecollege.php",1
"facebook.com","/",1
"google","/",3
"google","/search",1
"(direct)","/engineering-admission-possibilities",1
"google","/",2
"google","/new_mba_college_list.php",1
"(direct)","/",1
"facebook.com","/",1
"google","/",2
"(direct)","/",4
"36ohk6dgmcd1n-c.c.yom.mail.yahoo.net","/merit-calculator",1
"google","/",6
"search.softonic.com","/",1
"(direct)","/admission/diplomaadmissionpossibilities1.php",1
"(direct)","/",1
"(direct)","/admission/",3
"google","/",3
"google","/new_mba_college_list.php",1
"(direct)","/",1
"google","/",1
"(direct)","/",1
"google","/",2
"google","/medicalcollege/s-s-agarwal-college-of-nursing-navsari",1
"ask","/",1
"google","/",3
"google","/bindingmba.php",1
"(direct)","/",2
"google","/",3
"google","/",3
"google","/gujarat-d2d-engineering-college",1
"google","/d2dcollege/mahatma-gandhi-ins-of-technichal-education-research-center-navsari-",1
"facebook.com","/",1
"facebook.com","/search.php",1
"google","/",3
"(direct)","/",3
"facebook.com","/",1
"google","/",2
"linkedin.com","/",1
"(direct)","/",1
"facebook.com","/",1
"google","/",2
"google.com","/",1
"m.facebook.com","/",1
"facebook.com","/",1
"google","/",1
"(direct)","/",1
"admaya.in","/",1
"google","/",2
